,isbn_numbers,price_list,book_urls,isbn
21, ISBN:9781926778105 Publication Year:2010,$49.99,https://www.ebay.com/itm/142653335739?epid=102829059&hash=item2136cd28bb%3Ag%3AZ3UAAOSwoFVaWCOA&LH_BIN=1,9781926778105
22, ISBN:9780134527604,$16.90,https://www.ebay.com/itm/233185350665?epid=234677444&hash=item364aee1409%3Ag%3AqpYAAOSw-1JdNWXz&LH_BIN=1,9780134527604
23, ISBN:9780803625792,$14.00,https://www.ebay.com/itm/232204018359?epid=159989013&hash=item36107022b7%3Ag%3AzfIAAOSwwstbaYwZ&LH_BIN=1,9780803625792
24, ISBN:9781570616709 Book Title:The Lost Art of Reading: Why Books Matter in a Distracted Time,$3.87,https://www.ebay.com/itm/114859201523?epid=102772282&_trkparms=ispr%3D1&hash=item1abe2453f3%3Ag%3ADfAAAOSwNSRf%7EoMV&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSR84A%252FGMxXIqJzFmDq6lDLmYMmjCl7976fsKYQXEkCHxCBJxWY6q4Pn%252BcogP%252FRlNHmFcz3vctEKEiANtmbKaH8r07D%252Bjmp5fXBM%252BsluLIMO9YPlAkbmnuGHXWS25N%252Fk0OdX2K2a7%252F8pDjRKO8Z5IjBGK8UH3Pebiu6TDfVY8CvfJERsWdvlLGxGtC26pQLI9kcRb%252FtKOpLgxY4ij5ep326%252BDg4UMqxynu0ag%252FrUWBJKXkVWf25pJL6qmZxGyFVBLNT7vqbuEYGSLoy1j93QorCw3TveybS8aIjh5tAjGx%252FoX4WSOyzLg5IhOE8k3m0KrVOnnUu0G1izw%252FwxIkfp9oKZ7ab2tT%252Fh3NW0Drhwq2uQq717J8llRcQ%252BDSNlC6YGfQIUEH7oz7lAmnRbUfD1HfNBsjcNivBXdrxbLZZeQJPhUXFYcFpq5DUUOGY1qzdBnt2BPAWtsI2zlw465bbh6EG6LZgdR%252FLwDI5CHeCRnm7dPmhJ2k243jqV%252Bd0wvEoIIc1UWlCZFOGUC5WsiX7BNlk6g7O5aF4pDcDgnch36OEMiVFoUxk1LeEaJJdUdneA5DcupkoTJQS%252F%252FbuvNaAHiPOa%252B8%252Ba8xlOLMzI7%252Fb%252Fz0T5yFCEn2iFp9NA6mTYcCeY6nXDZPVjAiGYEW91FmJKNkznHpIzrhPBKlSrSfHP7zUEvQGc4QMfrmNIJ6yyRab7hRYahZEDcuEPliSAmAQbSFsotSMBDp9WPD0Xj%252Foyg6x9WEy2UJmZFkQviCFhf3KajzeJ2ToAIVmLoR2VscMSEgxDSBvN7unRFHAmtJ0JZdr3EEaipp2mxsnEjDACM09ouq%7Cclp%3A2334524%7Ctkp%3ABFBMytrSjtFf&LH_BIN=1,9781570616709
25, UPC:Does not apply ISBN:9780692374009,$5.95,https://www.ebay.com/itm/165292824325?epid=208613795&_trkparms=ispr%3D1&hash=item267c385705%3Ag%3Aw5UAAOSwNyxh6Y2M&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSLY2M1Gjmuwt9c03vWNfiRmqTCcOnbxzi0wFLVoK31r%252BmgOswFORN5HBSjD8M7SjAwqIKUjdOxrxa%252FU5ei%252F8lrlDSJUxaartv4tH55yt6UzjYJZTOLIF28IKM3c%252FpiNMCWK1SeXScIAvJhfTJ%252Bad9CKvNyifp4zBIq6ddtm5yA60rTycviMCeYE0hcfu%252BGDr6PmR0HNbpXVQqnSKD35yGMRt%252FdDtGoeDBGGXXAMM%252B2hhsFxD16c8gz2LXxfY8H8lfPvRV5CX1H2tgpZFTHX0VgqOMWvaFC%252BaTWrVUQmOMjISivKD%252BVvzGrAeUEBrRWY0%252FSedwZLnUKgjdgCCD1M9oQgGfMsFm9EpZZDlo11IEV061%252F1kK1BNZXSaBUrtN3FGd9NuXC2tcmR7N4bsZ6Jlrndmyl6lxOFa1vCVtov2q40OM%252BU1OvF2u86yCYH3liB7FPd5lvXRQ10Hu9DzLlNtu3o1w8kqjDkTR506%252BsUGGodIReqlXXv6OIl1yV0RcbRUY38B9BdJ5ExA44qpvw29mt60yoQdAvQfAl8oVNMeDBbIf9%252FQR4xJNnj23wYD8REZ7oJO14EM2rVmQyY%252F8J23f1A%252FeJ6hAEk8PCVAgunfRplxFuznokwMi6YEFy%252BwkBjB%252BmePZ3Zo4qqBGzeQ9g59Eorr1MzkM82fPenjyD%252FcXxV%252F939sHS7h0ViP%252FFumBf7xh1%252Fr2JcaWFohyWjeyT7Fv3zD3QPDEdm56BasMfD8MgNpIuJEFUGNCEqTQB17YzO8I%252BvtbVWRZVw9ezbj%252BI2K5QQrUWDaRjxViM%252FE9ocoLmPZ476g951hHgHtlToIWlevz%7Cclp%3A2334524%7Ctkp%3ABFBMytrSjtFf&LH_BIN=1,9780692374009
26, ISBN:1107674824 EAN:9781107674820,$24.40,https://www.ebay.com/itm/304122256318?epid=176299586&_trkparms=ispr%3D1&hash=item46cf195bbe%3Ag%3AEW4AAOSw4VJfWvrs&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSzaVbXtmGxqmWnpn8RLN2qyJEFnaL6n6pSb%252F0zT24FS%252FcKJgBxStdnoEpYLgzgKch8MsZCUy91GS4fTU%252FMWY8LbzPHwFnEytLmCUW5B1CD94VCnkyLifjyeQyivpfuR9UeUURv1VtZR421tbREFo9o5D%252FJjxUSVKAkf0DHN2QvD2t5CmdsHo0S5Mp00xmKBk7kaTUcMf9PPRla7paUCj8RzWNfs6zcNjLfzfMxCQq9VXldJz155axtgJA0iz4Et382PVyPmjF7HJa%252BDXfkNWyNwjAgQDYZg04U5A%252Fbbw%252FcBdlmvLI1mXD9CvHGYgetBUvS6vNFc2YXRxGJCeufQgOGwcTmnfmiZ7ioNvPLk2G%252BNX43y1e8kEnqBfF%252Fqj5aiJdVGfMbsrSo9uFijgIROr2VYJEKTWF4n%252FMJlsy%252B5kDs5dryJ7enBcDT3EN6Bp1T0%252BNZm6opZeoD1y072s0gTmrT6KVX6fq5XQHF4p6OjagigZflJ3xeSq2PpVhT4TFFvDIfLYbgV%252BPL%252BXPfrq9LmQu60fIM%252FbgsFHOdu1iVlQm6OgWcVM3WiPRcRsCNIlmpnUcIhFHcXyxjz%252FZ5c7dlJQ1TUj5df2G4RVexiTh%252BN9yI%252BpPQymJEXP25XEEPJqBkKYygJxxNKLmaZpgZn4FReIPxKQVOivfOJQh0DMy84KMRkhkkRerJ4GciT%252BDDKyhucPILrbo1a30BZ7GvZxuUiChIzmWCu2Gu4VlPpcf97X1H9i2%252Fq40wsQfu%252BAlFzFxiiVjAxx%252BXMA%252BMpQdEOnrqSobReYDNaf0Un09iqJH0ejti8fqSg5hK%252FHaQNjBj5hmIi%252FQ%7Cclp%3A2334524%7Ctkp%3ABFBMytrSjtFf&LH_BIN=1,9781107674820
27, Publisher:Penguin Books LTD ISBN:9780141982380,$17.24,https://www.ebay.com/itm/185151725504?epid=11049025914&_trkparms=ispr%3D1&hash=item2b1be71fc0%3Ag%3AiLAAAOSwxY9hiFQU&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS7UXID%252BRPOSNsnm8kYPghtJ8h2Grmv8L5lItTdOFjohBhdCmHQuHVaQaMt9G5QJjCFAscn%252BDttW%252BaGje0fTB9lELcElVwUvb8VJcBs%252BJMum8Fjgjm7Ow5CyO%252FCEz4MqRU2msaWAIjhVbrrk0uvSmElPq%252BPwC8q2rgRQlWDyXUWQ3V0XWc%252Bs6bhm%252FZyYTzpe0vQLnTUyM%252F4DVaBE4Dxcl%252BDIaUPHPbOWnWpGMoZx%252B0pBfTCJcJzNAouluAirUPlotV7LTCuWeTKmqqtItwFv%252Bh%252FGFD3B7RItjcoq1cWWQ4O%252BzXMZPKwEfFFksBIiIBBeY4eXgv1YN4ZkrSG7efWauUZju%252FlxBHtZZFFJBBMNxQWZZC2BfMJ%252F9IQAx1BiVOHGaxbeQtGBMlGkdGJ3AT%252BdW2%252B9Nnlxwuf9izHuOQjXTJGmhoxUPebOc3LaXiPzKRfhKEnHCwxSCACrRSANZ0vPHv9goiiJbuZuM8Sm8LEEw5Q%252Be8yJLbrYxg5cYM%252BQEQ0q%252BHhpiuPdD7No1NrhYAtNjuJzoU2MPcvDSn%252FDUOrREIccRT9QZCfCQQs2DA4nOcExsu%252FilsxWJIHvgAteLG5sIa7sWQaqfxfA2AVZy3HQGpzQT4cSMtmryx%252FgkrOVOFRkNaOfDLnc%252FQb7Aj0K7v2JU3ZvvIljZbxVBiuHI7s%252FGNJNsalh0QHX%252B5uLfyafZkMTUnMfBcBUwb9OIJ4jb7vQNZgNIV2%252BucsYvlDOlxc2YGYrsDx%252BcknPldwFgk2kVuorUx62dCXvFOXOv%252FTobyhB83ot7pxxjE867D0ZvvZpQsWfCsfY29KF7iyv5Lrk3rCvRP%7Cclp%3A2334524%7Ctkp%3ABFBMytrSjtFf&LH_BIN=1,9780141982380
28, ISBN:9780143131663 Publication Year:2017,$12.00,https://www.ebay.com/itm/134001620582?epid=237535704&hash=item1f331e7666%3Ag%3AgT8AAOSwtRlh6xHI&LH_BIN=1,9780143131663
29, ISBN:9780134687131 Publication Year:2018,$36.99,https://www.ebay.com/itm/165294452605?epid=242571971&hash=item267c512f7d%3Ag%3AhWcAAOSwnWthzygm&LH_BIN=1,9780134687131
30, ISBN:9781259281594,$14.50,https://www.ebay.com/itm/232610470174?epid=219267765&hash=item3628aa191e%3Ag%3AYwAAAOSwZotdW7ej&LH_BIN=1,9781259281594
